Whose brother is not in a band?,Phil Selway,Thom Yorke,Colin Greenwood,Jonny Greenwood
Which song has never been released as a single?,Black Star,Fake Plastic Trees,Anyone Can Play Guitar,Planet Telex
Who is the youngest member of the band?,Jonny Greenwood,Thom Yorke,Ed O'Brien,Colin Greenwood
Where could you first have heard Lucky?,Help LP,Help EP,OK Computer,Japanese import of The Bends
What is the band's hometown?,Oxford,Cambridge,London,Chester
Which school did the band all attend?,Abingdon School,There wasn't one,Oxford Grammar School,Chesterford School
Which song is not a b-side from the Pablo Honey singles?,Lewis (mistreated),Coke Babies,Yes I Am,Lurgee
In terms of UK chart placing which is the correct order (from highest to lowest)?,Paranoid Android/Street Spirit/Creep/Karma Police,Creep/Paranoid Android/Fake Plastic Trees/Street Spirit,Paranoid Android/Creep/Karma Police/Street Spirit,Creep/Paranoid Android/Street Spirit/Karma Police
What was Radiohead's first UK Top 40 hit?,Anyone Can Play Guitar,Pop is Dead,Creep,Drill EP
Complete the lyric : "He's a dangerous bigot...",but we always forget,cos he cheats on his friends,but we never forget,he wants to be loved
Which of these songs does the band like least?,Sulk,Black Star,Bulletproof... I wish I was,My Iron Lung
Which of these are not a mix of Planet Telex?,Karma Sutra mix,Hexidecimal dub,Depth Charge mix,Trashed mix
Who has not been offered to remix parts of OK Computer?,The Chemical Brothers,DJ Shadow,Fila Brazillia,Massive Attack
Which of these bands have never supported Radiohead on a tour?,The Bluetones,Remy Zero,Treble Charger,David Gray
Complete the lyric : "You have turned me...",into this,inside out,into something else,into something I don't want
Who is the tallest member of the band?,Ed O'Brien,Thom Yorke,Colin Greenwood,Jonny Greenwood
Which member of the band was born on November 5th?,None of them,Thom Yorke,Colin Greenwood,Phil Selway
Which of these videos features the whole band?,My Iron Lung,Paranoid Android,Karma Police,High and Dry (US Version)
Which is the correctly ordered tracklisting?,Thinking About You/Anyone Can Play Guitar/Ripcord,Prove Yourself/Lurgee/I Can't,Fitter Happier/Karma Police/Electioneering,Just/Bulletproof/Black Star
Which record shop did Colin used to work in?,Our Price,HMV,Virgin,Replay Records
Which band member has a fascination with kites?,Jonny Greenwood,Colin Greenwood,Phil Selway,Ed O'Brien
To whom is The Bends dedicated?,Bill Hicks,Tom Hicks,Bill Lavelle,Caroline Lavelle
What qualifications does Thom have?,English and Fine Art from Exeter University,Fine Art from Exeter University,English from Cambridge University,English and Fine Art from Cambridge University
What was the first song the band wrote after they signed?,Inside My Head,Creep,Lurgee,Yes I Am
Complete the lyric : "It's funny how...",cos I never get that far,I keep forgetting,you put my brain in overload,I never cared before
Thom Yorke recently collaborated with DJ Shadow and which other artist?,Richard Ashcroft,James Lavelle,Tricky,Michael Stipe
